,date,high,low,open,close,volume,quoteVolume,weightedAverage
0,1546300800,0.01232199,0.012105,0.01227412,0.01224702,11.47474031,938.52999477,0.01222629
1,1546315200,0.01235758,0.01218015,0.01225446,0.01223056,6.96543437,567.59424307,0.01227185
2,1546329600,0.01234246,0.01217325,0.012231,0.01228311,7.10957659,578.44708528,0.01229079
3,1546344000,0.01237977,0.0122487,0.01229189,0.0122911,9.1454552,743.25528044,0.01230459
4,1546358400,0.01245827,0.01225163,0.01228001,0.01245827,20.97501172,1696.31090129,0.01236507
5,1546372800,0.01264831,0.01239196,0.01242936,0.01249544,29.14045482,2322.77559678,0.01254553
6,1546387200,0.01259999,0.01243199,0.01249549,0.01247901,10.03136424,799.56105322,0.01254608
7,1546401600,0.01278436,0.01247901,0.01247901,0.01275239,19.83723467,1564.66915417,0.01267822
8,1546416000,0.01286514,0.01257456,0.01275239,0.01276012,60.39925402,4744.76267984,0.01272966
9,1546430400,0.01317618,0.01269283,0.01276022,0.013,99.55834375,7678.08091916,0.01296656
10,1546444800,0.01392092,0.01299499,0.01299499,0.01357587,159.00918413,11686.69623364,0.01360599
11,1546459200,0.0138,0.0131613,0.01357594,0.01329,62.60722674,4677.28089524,0.01338538
12,1546473600,0.01336862,0.0130804,0.01329,0.01315601,30.40567552,2309.02992227,0.01316816
13,1546488000,0.013234,0.01309201,0.01315614,0.01315417,8.46794783,643.58521631,0.01315746
14,1546502400,0.0133,0.01291811,0.01315427,0.01297533,45.1276967,3451.78777749,0.01307371
15,1546516800,0.01307378,0.0129,0.01297533,0.01301303,35.38764064,2729.50167879,0.01296487
16,1546531200,0.01307383,0.01290545,0.01301306,0.01294501,24.56854066,1894.35815331,0.01296932
17,1546545600,0.01304533,0.01290801,0.01294501,0.0129384,25.84994651,1996.31989333,0.01294879
18,1546560000,0.01304456,0.01291751,0.01294203,0.01293006,24.69899588,1906.56640573,0.0129547
19,1546574400,0.01317,0.01292005,0.0129301,0.01309309,17.05415543,1307.2199068,0.01304612
20,1546588800,0.0131965,0.01301421,0.01309309,0.013102,18.51389502,1416.80141678,0.01306738
21,1546603200,0.013304,0.01294911,0.01315083,0.01322899,20.63029394,1574.23005377,0.013105
22,1546617600,0.0132984,0.01310965,0.01322902,0.01320501,19.06424701,1443.14755571,0.01321018
23,1546632000,0.0132792,0.01295671,0.01319002,0.01305004,24.87041766,1899.11915962,0.01309576
24,1546646400,0.01327921,0.01304031,0.01305003,0.01319001,16.09959947,1221.53356545,0.01317982
